year,new_cases,new_deaths,total_cases,total_deaths,new_cases_smoothed,new_deaths_smoothed,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_tests,positive_rate,stringency_index,population,gdp_per_capita,life_expectancy,cases_per_capita,deaths_per_capita,fatality_rate,vaccination_rate,full_vaccination_rate,covid_intensity_index,covid_policy_shock
2020,1440.0,35.0,1440.0,35.0,4.010336134453782,0.09823529411764706,,,,,,58.30436464088398,98186856,6171.88,75.4,1.4665914142316564e-05,3.5646319095908316e-07,0.024305555555555556,,,8.942133761773573e-06,58.30436464088398
2021,1650233.0,31179.0,1651673.0,31214.0,4477.688410958905,84.77627397260274,150935915.0,77555511.0,68435813.0,74637039.0,0.04205882352941177,69.14849315068493,98186856,6171.88,75.4,0.01680706631445659,0.0003175475951689501,0.01889841391122819,0.7898767122149222,0.6969956650816888,0.010211258826741534,69.14849315068493
2022,9872529.0,11970.0,11524202.0,43184.0,27091.545671232878,33.43934246575342,265336568.0,90156999.0,85705657.0,85824349.0,0.4748235294117647,37.224575342465755,98186856,6171.88,75.4,0.1005483768621739,0.00012191041130800644,0.0037472442777382762,0.9182186157381391,0.8728831993561338,0.060377790281827534,37.224575342465755
2023,99798.0,22.0,11624000.0,43206.0,273.41942465753425,0.06021917808219178,266492149.0,90497674.0,85961564.0,,,,98186856,6171.88,75.4,0.001016408958038131,2.2406257717428085e-07,0.0037169649002064694,0.9216882756689958,0.8754895258078128,0.0006099349998537482,
2024,0.0,0.0,11624000.0,43206.0,0.0,0.0,,,,,,,98186856,6171.88,75.4,0.0,0.0,0.0037169649002064694,,,0.0,
